Attribute1	Attribute2	Attribute3	Attribute4	Attribute5	Attribute6	Attribute7	Attribute8	Attribute9	Attribute10	Attribute11	Attribute12	Attribute13	Attribute14	Attribute15	Attribute16	Attribute17	Attribute18	Attribute19	Attribute20	Label	Id
A12	18	A32	A43	866	A61	A73	4	A94	A103	2	A121	25	A143	A152	1	A172	1	A191	A201	1	10334
A14	4	A34	A43	1544	A61	A74	2	A93	A101	1	A121	42	A143	A152	3	A172	2	A191	A201	1	10335
A11	24	A32	A43	1823	A61	A71	4	A93	A101	2	A123	30	A142	A152	1	A174	2	A191	A201	2	10336
A12	6	A32	A40	14555	A65	A71	1	A93	A101	2	A122	23	A143	A152	1	A171	1	A192	A201	2	10337
A12	21	A32	A49	2767	A62	A75	4	A91	A101	2	A123	61	A141	A151	2	A172	1	A191	A201	2	10338
A14	12	A34	A43	1291	A61	A73	4	A92	A101	2	A122	35	A143	A152	2	A173	1	A191	A201	1	10339
A11	30	A32	A43	2522	A61	A75	1	A93	A103	3	A122	39	A143	A152	1	A173	2	A191	A201	1	10340
A11	24	A32	A40	915	A65	A75	4	A92	A101	2	A123	29	A141	A152	1	A173	1	A191	A201	2	10341
A14	6	A32	A43	1595	A61	A74	3	A93	A101	2	A122	51	A143	A152	1	A173	2	A191	A201	1	10342
A11	48	A30	A41	4605	A61	A75	3	A93	A101	4	A124	24	A143	A153	2	A173	2	A191	A201	2	10343
A14	12	A34	A49	1185	A61	A73	3	A92	A101	2	A121	27	A143	A152	2	A173	1	A191	A201	1	10344
A14	12	A31	A48	3447	A63	A73	4	A92	A101	3	A121	35	A143	A152	1	A172	2	A191	A201	1	10345
A14	24	A32	A49	1258	A61	A74	4	A93	A101	1	A121	25	A143	A152	1	A173	1	A192	A201	1	10346
A14	12	A34	A43	717	A61	A75	4	A93	A101	4	A121	52	A143	A152	3	A173	1	A191	A201	1	10347
A14	6	A30	A40	1204	A62	A73	4	A93	A101	1	A124	35	A141	A151	1	A173	1	A191	A202	1	10348
A13	24	A32	A42	1925	A61	A73	2	A93	A101	2	A121	26	A143	A152	1	A173	1	A191	A201	1	10349
A14	18	A32	A43	433	A61	A71	3	A92	A102	4	A121	22	A143	A151	1	A173	1	A191	A201	2	10350
A11	6	A34	A40	666	A64	A74	3	A92	A101	4	A121	39	A143	A152	2	A172	1	A192	A201	1	10351
A13	12	A32	A42	2251	A61	A73	1	A92	A101	2	A123	46	A143	A152	1	A172	1	A191	A201	1	10352
A12	30	A32	A40	2150	A61	A73	4	A92	A103	2	A124	24	A141	A152	1	A173	1	A191	A201	2	10353
A14	24	A33	A42	4151	A62	A73	2	A93	A101	3	A122	35	A143	A152	2	A173	1	A191	A201	1	10354
A12	9	A32	A42	2030	A65	A74	2	A93	A101	1	A123	24	A143	A152	1	A173	1	A192	A201	1	10355
A12	60	A33	A43	7418	A65	A73	1	A93	A101	1	A121	27	A143	A152	1	A172	1	A191	A201	1	10356
A14	24	A34	A43	2684	A61	A73	4	A93	A101	2	A121	35	A143	A152	2	A172	1	A191	A201	1	10357
A11	12	A31	A43	2149	A61	A73	4	A91	A101	1	A124	29	A143	A153	1	A173	1	A191	A201	2	10358
A14	15	A32	A41	3812	A62	A72	1	A92	A101	4	A123	23	A143	A152	1	A173	1	A192	A201	1	10359
A14	11	A34	A43	1154	A62	A71	4	A92	A101	4	A121	57	A143	A152	3	A172	1	A191	A201	1	10360
A11	12	A32	A42	1657	A61	A73	2	A93	A101	2	A121	27	A143	A152	1	A173	1	A191	A201	1	10361
A11	24	A32	A43	1603	A61	A75	4	A92	A101	4	A123	55	A143	A152	1	A173	1	A191	A201	1	10362
A11	18	A34	A40	5302	A61	A75	2	A93	A101	4	A124	36	A143	A153	3	A174	1	A192	A201	1	10363
A14	12	A34	A46	2748	A61	A75	2	A92	A101	4	A124	57	A141	A153	3	A172	1	A191	A201	1	10364
A14	10	A34	A40	1231	A61	A75	3	A93	A101	4	A121	32	A143	A152	2	A172	2	A191	A202	1	10365
A12	15	A32	A43	802	A61	A75	4	A93	A101	3	A123	37	A143	A152	1	A173	2	A191	A201	2	10366
A14	36	A34	A49	6304	A65	A75	4	A93	A101	4	A121	36	A143	A152	2	A173	1	A191	A201	1	10367
A14	24	A32	A43	1533	A61	A72	4	A92	A101	3	A123	38	A142	A152	1	A173	1	A192	A201	1	10368
A11	14	A32	A40	8978	A61	A75	1	A91	A101	4	A122	45	A143	A152	1	A174	1	A192	A202	2	10369
A14	24	A32	A43	999	A65	A75	4	A93	A101	2	A123	25	A143	A152	2	A173	1	A191	A201	1	10370
A14	18	A32	A40	2662	A65	A74	4	A93	A101	3	A122	32	A143	A152	1	A173	1	A191	A202	1	10371
A14	12	A34	A42	1402	A63	A74	3	A92	A101	4	A123	37	A143	A151	1	A173	1	A192	A201	1	10372
A12	48	A31	A40	12169	A65	A71	4	A93	A102	4	A124	36	A143	A153	1	A174	1	A192	A201	1	10373
A12	48	A32	A43	3060	A61	A74	4	A93	A101	4	A121	28	A143	A152	2	A173	1	A191	A201	2	10374
A11	30	A32	A45	11998	A61	A72	1	A91	A101	1	A124	34	A143	A152	1	A172	1	A192	A201	2	10375
A14	9	A32	A43	2697	A61	A73	1	A93	A101	2	A121	32	A143	A152	1	A173	2	A191	A201	1	10376
A14	18	A34	A43	2404	A61	A73	2	A92	A101	2	A123	26	A143	A152	2	A173	1	A191	A201	1	10377
A11	12	A32	A42	1262	A65	A75	2	A91	A101	4	A122	49	A143	A152	1	A172	1	A192	A201	1	10378
A14	6	A32	A42	4611	A61	A72	1	A92	A101	4	A122	32	A143	A152	1	A173	1	A191	A201	2	10379
A14	24	A32	A43	1901	A62	A73	4	A93	A101	4	A123	29	A143	A151	1	A174	1	A192	A201	1	10380
A14	15	A34	A41	3368	A64	A75	3	A93	A101	4	A124	23	A143	A151	2	A173	1	A192	A201	1	10381
A14	12	A32	A42	1574	A61	A73	4	A93	A101	2	A121	50	A143	A152	1	A173	1	A191	A201	1	10382
A13	18	A31	A43	1445	A65	A74	4	A93	A101	4	A123	49	A141	A152	1	A172	1	A191	A201	1	10383
A14	15	A34	A42	1520	A65	A75	4	A93	A101	4	A122	63	A143	A152	1	A173	1	A191	A201	1	10384
A12	24	A34	A40	3878	A62	A72	4	A91	A101	2	A123	37	A143	A152	1	A173	1	A192	A201	1	10385
A11	47	A32	A40	10722	A61	A72	1	A92	A101	1	A121	35	A143	A152	1	A172	1	A192	A201	1	10386
A11	48	A32	A41	4788	A61	A74	4	A93	A101	3	A122	26	A143	A152	1	A173	2	A191	A201	1	10387
A12	48	A33	A410	7582	A62	A71	2	A93	A101	4	A124	31	A143	A153	1	A174	1	A192	A201	1	10388
A12	12	A32	A43	1092	A61	A73	4	A92	A103	4	A121	49	A143	A152	2	A173	1	A192	A201	1	10389
A11	24	A33	A43	1024	A61	A72	4	A94	A101	4	A121	48	A142	A152	1	A173	1	A191	A201	2	10390
A14	12	A32	A49	1076	A61	A73	2	A94	A101	2	A121	26	A143	A152	1	A173	1	A192	A202	1	10391
A12	36	A32	A41	9398	A61	A72	1	A94	A101	4	A123	28	A143	A151	1	A174	1	A192	A201	2	10392
A11	24	A34	A41	6419	A61	A75	2	A92	A101	4	A124	44	A143	A153	2	A174	2	A192	A201	1	10393
A13	42	A34	A41	4796	A61	A75	4	A93	A101	4	A124	56	A143	A153	1	A173	1	A191	A201	1	10394
A14	48	A34	A49	7629	A65	A75	4	A91	A101	2	A123	46	A141	A152	2	A174	2	A191	A201	1	10395
A12	48	A32	A42	9960	A61	A72	1	A92	A101	2	A123	26	A143	A152	1	A173	1	A192	A201	2	10396
A14	12	A32	A41	4675	A65	A72	1	A92	A101	4	A123	20	A143	A151	1	A173	1	A191	A201	1	10397
A14	10	A32	A40	1287	A65	A75	4	A93	A102	2	A122	45	A143	A152	1	A172	1	A191	A202	1	10398
A14	18	A32	A42	2515	A61	A73	3	A93	A101	4	A121	43	A143	A152	1	A173	1	A192	A201	1	10399
A12	21	A34	A42	2745	A64	A74	3	A93	A101	2	A123	32	A143	A152	2	A173	1	A192	A201	1	10400
A14	6	A32	A40	672	A61	A71	1	A92	A101	4	A121	54	A143	A152	1	A171	1	A192	A201	1	10401
A12	36	A30	A43	3804	A61	A73	4	A92	A101	1	A123	42	A143	A152	1	A173	1	A192	A201	2	10402
A13	24	A34	A40	1344	A65	A74	4	A93	A101	2	A121	37	A141	A152	2	A172	2	A191	A201	2	10403
A11	10	A34	A40	1038	A61	A74	4	A93	A102	3	A122	49	A143	A152	2	A173	1	A192	A201	1	10404
A14	48	A34	A40	10127	A63	A73	2	A93	A101	2	A124	44	A141	A153	1	A173	1	A191	A201	2	10405
A14	6	A32	A42	1543	A64	A73	4	A91	A101	2	A121	33	A143	A152	1	A173	1	A191	A201	1	10406
A14	30	A32	A41	4811	A65	A74	2	A92	A101	4	A122	24	A142	A151	1	A172	1	A191	A201	1	10407
A11	12	A32	A43	727	A62	A72	4	A94	A101	3	A124	33	A143	A152	1	A172	1	A192	A201	2	10408
A12	8	A32	A42	1237	A61	A73	3	A92	A101	4	A121	24	A143	A152	1	A173	1	A191	A201	2	10409
A12	9	A32	A40	276	A61	A73	4	A94	A101	4	A121	22	A143	A151	1	A172	1	A191	A201	1	10410
A12	48	A32	A410	5381	A65	A71	3	A93	A101	4	A124	40	A141	A153	1	A171	1	A192	A201	1	10411
A14	24	A32	A42	5511	A62	A73	4	A93	A101	1	A123	25	A142	A152	1	A173	1	A191	A201	1	10412
A13	24	A32	A42	3749	A61	A72	2	A92	A101	4	A123	26	A143	A152	1	A173	1	A191	A201	1	10413
A12	12	A32	A40	685	A61	A74	2	A94	A101	3	A123	25	A141	A152	1	A172	1	A191	A201	2	10414
A13	4	A32	A40	1494	A65	A72	1	A93	A101	2	A121	29	A143	A152	1	A172	2	A191	A202	1	10415
A11	36	A31	A42	2746	A61	A75	4	A93	A101	4	A123	31	A141	A152	1	A173	1	A191	A201	2	10416
A11	12	A32	A42	708	A61	A73	2	A93	A103	3	A122	38	A143	A152	1	A172	2	A191	A201	1	10417
A12	24	A32	A42	4351	A65	A73	1	A92	A101	4	A122	48	A143	A152	1	A172	1	A192	A201	1	10418
A14	12	A34	A46	701	A61	A73	4	A93	A101	2	A123	32	A143	A152	2	A173	1	A191	A201	1	10419
A11	15	A33	A42	3643	A61	A75	1	A92	A101	4	A122	27	A143	A152	2	A172	1	A191	A201	1	10420
A12	30	A34	A40	4249	A61	A71	4	A94	A101	2	A123	28	A143	A152	2	A174	1	A191	A201	2	10421
A11	24	A32	A43	1938	A61	A72	4	A91	A101	3	A122	32	A143	A152	1	A173	1	A191	A201	2	10422
A11	24	A32	A41	2910	A61	A74	2	A93	A101	1	A124	34	A143	A153	1	A174	1	A192	A201	1	10423
A11	18	A32	A42	2659	A64	A73	4	A93	A101	2	A123	28	A143	A152	1	A173	1	A191	A201	1	10424
A14	18	A34	A40	1028	A61	A73	4	A92	A101	3	A121	36	A143	A152	2	A173	1	A191	A201	1	10425
A11	8	A34	A40	3398	A61	A74	1	A93	A101	4	A121	39	A143	A152	2	A172	1	A191	A202	1	10426
A14	12	A34	A42	5801	A65	A75	2	A93	A101	4	A122	49	A143	A151	1	A173	1	A192	A201	1	10427
A14	24	A32	A40	1525	A64	A74	4	A92	A101	3	A123	34	A143	A152	1	A173	2	A192	A201	1	10428
A13	36	A32	A43	4473	A61	A75	4	A93	A101	2	A123	31	A143	A152	1	A173	1	A191	A201	1	10429
A12	6	A32	A43	1068	A61	A75	4	A93	A101	4	A123	28	A143	A152	1	A173	2	A191	A201	1	10430
A11	24	A34	A41	6615	A61	A71	2	A93	A101	4	A124	75	A143	A153	2	A174	1	A192	A201	1	10431
A14	18	A34	A46	1864	A62	A73	4	A92	A101	2	A121	30	A143	A152	2	A173	1	A191	A201	2	10432
A12	60	A32	A40	7408	A62	A72	4	A92	A101	2	A122	24	A143	A152	1	A174	1	A191	A201	2	10433
A14	48	A34	A41	11590	A62	A73	2	A92	A101	4	A123	24	A141	A151	2	A172	1	A191	A201	2	10434
A11	24	A30	A42	4110	A61	A75	3	A93	A101	4	A124	23	A141	A151	2	A173	2	A191	A201	2	10435
A11	6	A34	A42	3384	A61	A73	1	A91	A101	4	A121	44	A143	A151	1	A174	1	A192	A201	2	10436
A12	13	A32	A43	2101	A61	A72	2	A92	A103	4	A122	23	A143	A152	1	A172	1	A191	A201	1	10437
A11	15	A32	A44	1275	A65	A73	4	A92	A101	2	A123	24	A143	A151	1	A173	1	A191	A201	2	10438
A11	24	A32	A42	4169	A61	A73	4	A93	A101	4	A122	28	A143	A152	1	A173	1	A191	A201	1	10439
A12	10	A32	A42	1521	A61	A73	4	A91	A101	2	A123	31	A143	A152	1	A172	1	A191	A201	1	10440
A12	24	A34	A46	5743	A61	A72	2	A92	A101	4	A124	24	A143	A153	2	A173	1	A192	A201	1	10441
A11	21	A32	A42	3599	A61	A74	1	A92	A101	4	A123	26	A143	A151	1	A172	1	A191	A201	1	10442
A12	18	A32	A43	3213	A63	A72	1	A94	A101	3	A121	25	A143	A151	1	A173	1	A191	A201	1	10443
A12	18	A32	A49	4439	A61	A75	1	A93	A102	1	A121	33	A141	A152	1	A174	1	A192	A201	1	10444
A13	10	A32	A40	3949	A61	A72	1	A93	A103	1	A122	37	A143	A152	1	A172	2	A191	A201	1	10445
A14	15	A34	A43	1459	A61	A73	4	A92	A101	2	A123	43	A143	A152	1	A172	1	A191	A201	1	10446
A12	13	A34	A43	882	A61	A72	4	A93	A103	4	A121	23	A143	A152	2	A173	1	A191	A201	1	10447
A12	24	A32	A43	3758	A63	A71	1	A92	A101	4	A124	23	A143	A151	1	A171	1	A191	A201	1	10448
A14	6	A33	A49	1743	A62	A73	1	A93	A101	2	A121	34	A143	A152	2	A172	1	A191	A201	1	10449
A12	9	A34	A46	1136	A64	A75	4	A93	A101	3	A124	32	A143	A153	2	A173	2	A191	A201	2	10450
A14	9	A32	A44	1236	A61	A72	1	A92	A101	4	A121	23	A143	A151	1	A173	1	A192	A201	1	10451
A12	9	A32	A42	959	A61	A73	1	A92	A101	2	A123	29	A143	A152	1	A173	1	A191	A202	2	10452
A14	18	A34	A41	3229	A65	A71	2	A93	A101	4	A124	38	A143	A152	1	A174	1	A192	A201	1	10453
A11	12	A30	A43	6199	A61	A73	4	A93	A101	2	A122	28	A143	A151	2	A173	1	A192	A201	2	10454
A14	10	A32	A46	727	A63	A75	4	A93	A101	4	A124	46	A143	A153	1	A173	1	A192	A201	1	10455
A12	24	A32	A40	1246	A61	A72	4	A93	A101	2	A121	23	A142	A152	1	A172	1	A191	A201	2	10456
A14	12	A34	A43	2331	A65	A75	1	A93	A102	4	A121	49	A143	A152	1	A173	1	A192	A201	1	10457
A14	36	A33	A43	4463	A61	A73	4	A93	A101	2	A123	26	A143	A152	2	A174	1	A192	A201	2	10458
A14	12	A32	A43	776	A61	A73	4	A94	A101	2	A121	28	A143	A152	1	A173	1	A191	A201	1	10459
A11	30	A32	A42	2406	A61	A74	4	A92	A101	4	A121	23	A143	A151	1	A173	1	A191	A201	2	10460
A12	18	A32	A46	1239	A65	A73	4	A93	A101	4	A124	61	A143	A153	1	A173	1	A191	A201	1	10461
A13	12	A32	A43	3399	A65	A75	2	A93	A101	3	A123	37	A143	A152	1	A174	1	A191	A201	1	10462
A13	12	A33	A40	2247	A61	A73	2	A92	A101	2	A123	36	A142	A152	2	A173	1	A192	A201	1	10463
A14	6	A32	A42	1766	A61	A73	1	A94	A101	2	A122	21	A143	A151	1	A173	1	A191	A201	1	10464
A11	18	A32	A42	2473	A61	A71	4	A93	A101	1	A123	25	A143	A152	1	A171	1	A191	A201	2	10465
A14	12	A32	A49	1542	A61	A74	2	A93	A101	4	A123	36	A143	A152	1	A173	1	A192	A201	1	10466
A14	18	A34	A41	3850	A61	A74	3	A93	A101	1	A123	27	A143	A152	2	A173	1	A191	A201	1	10467
A11	18	A32	A42	3650	A61	A72	1	A92	A101	4	A123	22	A143	A151	1	A173	1	A191	A201	1	10468
A11	36	A32	A42	3446	A61	A75	4	A93	A101	2	A123	42	A143	A152	1	A173	2	A191	A201	2	10469
A12	18	A32	A42	3001	A61	A74	2	A92	A101	4	A121	40	A143	A151	1	A173	1	A191	A201	1	10470
A14	36	A32	A40	3079	A65	A73	4	A93	A101	4	A121	36	A143	A152	1	A173	1	A191	A201	1	10471
A14	18	A34	A43	6070	A61	A75	3	A93	A101	4	A123	33	A143	A152	2	A173	1	A192	A201	1	10472
A14	10	A34	A42	2146	A61	A72	1	A92	A101	3	A121	23	A143	A151	2	A173	1	A191	A201	1	10473
A14	60	A34	A40	13756	A65	A75	2	A93	A101	4	A124	63	A141	A153	1	A174	1	A192	A201	1	10474
A12	60	A31	A410	14782	A62	A75	3	A92	A101	4	A124	60	A141	A153	2	A174	1	A192	A201	2	10475
A11	48	A31	A49	7685	A61	A74	2	A92	A103	4	A123	37	A143	A151	1	A173	1	A191	A201	2	10476
A14	18	A33	A43	2320	A61	A71	2	A94	A101	3	A121	34	A143	A152	2	A173	1	A191	A201	1	10477
A14	7	A33	A43	846	A65	A75	3	A93	A101	4	A124	36	A143	A153	1	A173	1	A191	A201	1	10478
A12	36	A32	A40	14318	A61	A75	4	A93	A101	2	A124	57	A143	A153	1	A174	1	A192	A201	2	10479
A14	6	A34	A40	362	A62	A73	4	A92	A101	4	A123	52	A143	A152	2	A172	1	A191	A201	1	10480
A11	20	A32	A42	2212	A65	A74	4	A93	A101	4	A123	39	A143	A152	1	A173	1	A192	A201	1	10481
A12	18	A32	A41	12976	A61	A71	3	A92	A101	4	A124	38	A143	A153	1	A174	1	A192	A201	2	10482
A14	22	A32	A40	1283	A65	A74	4	A92	A101	4	A122	25	A143	A151	1	A173	1	A191	A201	1	10483
A13	12	A32	A40	1330	A61	A72	4	A93	A101	1	A121	26	A143	A152	1	A173	1	A191	A201	1	10484
A14	30	A33	A49	4272	A62	A73	2	A93	A101	2	A122	26	A143	A152	2	A172	1	A191	A201	1	10485
A14	18	A34	A43	2238	A61	A73	2	A92	A101	1	A123	25	A143	A152	2	A173	1	A191	A201	1	10486
A14	18	A32	A43	1126	A65	A72	4	A92	A101	2	A121	21	A143	A151	1	A173	1	A192	A201	1	10487
A12	18	A34	A42	7374	A61	A71	4	A93	A101	4	A122	40	A142	A152	2	A174	1	A192	A201	1	10488
A12	15	A34	A49	2326	A63	A73	2	A93	A101	4	A123	27	A141	A152	1	A173	1	A191	A201	1	10489
A14	9	A32	A49	1449	A61	A74	3	A92	A101	2	A123	27	A143	A152	2	A173	1	A191	A201	1	10490
A14	18	A32	A40	1820	A61	A73	2	A94	A101	2	A122	30	A143	A152	1	A174	1	A192	A201	1	10491
A12	12	A32	A42	983	A64	A72	1	A92	A101	4	A121	19	A143	A151	1	A172	1	A191	A201	1	10492
A11	36	A32	A40	3249	A61	A74	2	A93	A101	4	A124	39	A141	A153	1	A174	2	A192	A201	1	10493
A11	6	A34	A43	1957	A61	A74	1	A92	A101	4	A123	31	A143	A152	1	A173	1	A191	A201	1	10494
A14	9	A34	A42	2406	A61	A71	2	A93	A101	3	A123	31	A143	A152	1	A174	1	A191	A201	1	10495
A12	39	A33	A46	11760	A62	A74	2	A93	A101	3	A124	32	A143	A151	1	A173	1	A192	A201	1	10496
A11	12	A32	A42	2578	A61	A71	3	A92	A101	4	A124	55	A143	A153	1	A174	1	A191	A201	1	10497
A11	36	A34	A42	2348	A61	A73	3	A94	A101	2	A122	46	A143	A152	2	A173	1	A192	A201	1	10498
A12	12	A32	A40	1223	A61	A75	1	A91	A101	1	A121	46	A143	A151	2	A173	1	A191	A201	2	10499
A14	24	A34	A43	1516	A64	A73	4	A92	A101	1	A121	43	A143	A152	2	A172	1	A191	A201	1	10500
A14	18	A32	A43	1473	A61	A72	3	A94	A101	4	A121	39	A143	A152	1	A173	1	A192	A201	1	10501
A12	18	A34	A49	1887	A65	A73	4	A94	A101	4	A121	28	A141	A152	2	A173	1	A191	A201	1	10502
A14	24	A33	A49	8648	A61	A72	2	A93	A101	2	A123	27	A141	A152	2	A173	1	A192	A201	2	10503
A14	14	A33	A40	802	A61	A73	4	A93	A101	2	A123	27	A143	A152	2	A172	1	A191	A201	1	10504
A12	18	A33	A40	2899	A65	A75	4	A93	A101	4	A123	43	A143	A152	1	A173	2	A191	A201	1	10505
A12	24	A32	A43	2039	A61	A72	1	A94	A101	1	A122	22	A143	A152	1	A173	1	A192	A201	2	10506
A14	24	A34	A41	2197	A65	A74	4	A93	A101	4	A123	43	A143	A152	2	A173	2	A192	A201	1	10507
A11	15	A32	A43	1053	A61	A72	4	A94	A101	2	A121	27	A143	A152	1	A173	1	A191	A202	1	10508
A14	24	A32	A43	3235	A63	A75	3	A91	A101	2	A123	26	A143	A152	1	A174	1	A192	A201	1	10509
A13	12	A34	A40	939	A63	A74	4	A94	A101	2	A121	28	A143	A152	3	A173	1	A192	A201	2	10510
A12	24	A32	A43	1967	A61	A75	4	A92	A101	4	A123	20	A143	A152	1	A173	1	A192	A201	1	10511
A14	33	A34	A41	7253	A61	A74	3	A93	A101	2	A123	35	A143	A152	2	A174	1	A192	A201	1	10512
A14	12	A34	A49	2292	A61	A71	4	A93	A101	2	A123	42	A142	A152	2	A174	1	A192	A201	2	10513
A14	10	A32	A40	1597	A63	A73	3	A93	A101	2	A124	40	A143	A151	1	A172	2	A191	A202	1	10514
A11	24	A32	A40	1381	A65	A73	4	A92	A101	2	A122	35	A143	A152	1	A173	1	A191	A201	2	10515
A14	36	A34	A41	5842	A61	A75	2	A93	A101	2	A122	35	A143	A152	2	A173	2	A192	A201	1	10516
A11	12	A32	A40	2579	A61	A72	4	A93	A101	1	A121	33	A143	A152	1	A172	2	A191	A201	2	10517
A11	18	A33	A46	8471	A65	A73	1	A92	A101	2	A123	23	A143	A151	2	A173	1	A192	A201	1	10518
A14	21	A32	A40	2782	A63	A74	1	A92	A101	2	A123	31	A141	A152	1	A174	1	A191	A201	1	10519
A12	18	A32	A40	1042	A65	A73	4	A92	A101	2	A122	33	A143	A152	1	A173	1	A191	A201	2	10520
A14	15	A32	A40	3186	A64	A74	2	A92	A101	3	A123	20	A143	A151	1	A173	1	A191	A201	1	10521
A12	12	A32	A41	2028	A65	A73	4	A93	A101	2	A123	30	A143	A152	1	A173	1	A191	A201	1	10522
A12	12	A34	A40	958	A61	A74	2	A93	A101	3	A121	47	A143	A152	2	A172	2	A191	A201	1	10523
A14	21	A33	A42	1591	A62	A74	4	A93	A101	3	A121	34	A143	A152	2	A174	1	A191	A201	1	10524
A12	12	A32	A42	2762	A65	A75	1	A92	A101	2	A122	25	A141	A152	1	A173	1	A192	A201	2	10525
A12	18	A32	A41	2779	A61	A73	1	A94	A101	3	A123	21	A143	A151	1	A173	1	A192	A201	1	10526
A14	28	A34	A43	2743	A61	A75	4	A93	A101	2	A123	29	A143	A152	2	A173	1	A191	A201	1	10527
A14	18	A34	A43	1149	A64	A73	4	A93	A101	3	A121	46	A143	A152	2	A173	1	A191	A201	1	10528
A14	9	A32	A42	1313	A61	A75	1	A93	A101	4	A123	20	A143	A152	1	A173	1	A191	A201	1	10529
A11	18	A34	A45	1190	A61	A71	2	A92	A101	4	A124	55	A143	A153	3	A171	2	A191	A201	2	10530
A14	5	A32	A49	3448	A61	A74	1	A93	A101	4	A121	74	A143	A152	1	A172	1	A191	A201	1	10531
A12	24	A32	A410	11328	A61	A73	2	A93	A102	3	A123	29	A141	A152	2	A174	1	A192	A201	2	10532
A11	6	A34	A42	1872	A61	A71	4	A93	A101	4	A124	36	A143	A153	3	A174	1	A192	A201	1	10533
A14	24	A34	A45	2058	A61	A73	4	A91	A101	2	A121	33	A143	A152	2	A173	1	A192	A201	1	10534
A11	9	A32	A42	2136	A61	A73	3	A93	A101	2	A121	25	A143	A152	1	A173	1	A191	A201	1	10535
A12	12	A32	A43	1484	A65	A73	2	A94	A101	1	A121	25	A143	A152	1	A173	1	A192	A201	2	10536
A14	6	A32	A45	660	A63	A74	2	A94	A101	4	A121	23	A143	A151	1	A172	1	A191	A201	1	10537
A14	24	A34	A40	1287	A64	A75	4	A92	A101	4	A121	37	A143	A152	2	A173	1	A192	A201	1	10538
A11	42	A34	A45	3394	A61	A71	4	A93	A102	4	A123	65	A143	A152	2	A171	1	A191	A201	1	10539
A13	12	A31	A49	609	A61	A72	4	A92	A101	1	A121	26	A143	A152	1	A171	1	A191	A201	2	10540
A14	12	A32	A40	1884	A61	A75	4	A93	A101	4	A123	39	A143	A152	1	A174	1	A192	A201	1	10541
A11	12	A32	A42	1620	A61	A73	2	A92	A102	3	A122	30	A143	A152	1	A173	1	A191	A201	1	10542
A12	20	A33	A410	2629	A61	A73	2	A93	A101	3	A123	29	A141	A152	2	A173	1	A192	A201	1	10543
A14	12	A32	A46	719	A61	A75	4	A93	A101	4	A123	41	A141	A152	1	A172	2	A191	A201	2	10544
A12	48	A34	A42	5096	A61	A73	2	A92	A101	3	A123	30	A143	A152	1	A174	1	A192	A201	2	10545
A14	9	A34	A46	1244	A65	A75	4	A92	A101	4	A122	41	A143	A151	2	A172	1	A191	A201	1	10546
A11	36	A32	A40	1842	A61	A72	4	A92	A101	4	A123	34	A143	A152	1	A173	1	A192	A201	2	10547
A12	7	A32	A43	2576	A61	A73	2	A93	A103	2	A121	35	A143	A152	1	A173	1	A191	A201	1	10548
A13	12	A32	A42	1424	A65	A75	3	A92	A101	4	A121	55	A143	A152	1	A174	1	A192	A201	1	10549
A12	15	A33	A45	1512	A64	A73	3	A94	A101	3	A122	61	A142	A152	2	A173	1	A191	A201	2	10550
A14	36	A34	A41	11054	A65	A73	4	A93	A101	2	A123	30	A143	A152	1	A174	1	A192	A201	1	10551
A14	6	A32	A43	518	A61	A73	3	A92	A101	1	A121	29	A143	A152	1	A173	1	A191	A201	1	10552
A14	12	A30	A42	2759	A61	A75	2	A93	A101	4	A122	34	A143	A152	2	A173	1	A191	A201	1	10553
A14	24	A32	A41	2670	A61	A75	4	A93	A101	4	A123	35	A143	A152	1	A174	1	A192	A201	1	10554
A11	24	A32	A40	4817	A61	A74	2	A93	A102	3	A122	31	A143	A152	1	A173	1	A192	A201	2	10555
A14	24	A32	A41	2679	A61	A72	4	A92	A101	1	A124	29	A143	A152	1	A174	1	A192	A201	1	10556
A11	11	A34	A40	3905	A61	A73	2	A93	A101	2	A121	36	A143	A151	2	A173	2	A191	A201	1	10557
A11	12	A32	A41	3386	A61	A75	3	A93	A101	4	A124	35	A143	A153	1	A173	1	A192	A201	2	10558
A11	6	A32	A44	343	A61	A72	4	A92	A101	1	A121	27	A143	A152	1	A173	1	A191	A201	1	10559
A14	18	A32	A43	4594	A61	A72	3	A93	A101	2	A123	32	A143	A152	1	A173	1	A192	A201	1	10560
A11	36	A32	A42	3620	A61	A73	1	A93	A103	2	A122	37	A143	A152	1	A173	2	A191	A201	1	10561
A11	15	A32	A40	1721	A61	A72	2	A93	A101	3	A121	36	A143	A152	1	A173	1	A191	A201	1	10562
A12	12	A32	A42	3017	A61	A72	3	A92	A101	1	A121	34	A143	A151	1	A174	1	A191	A201	1	10563
A12	12	A32	A48	754	A65	A75	4	A93	A101	4	A122	38	A143	A152	2	A173	1	A191	A201	1	10564
A14	18	A32	A49	1950	A61	A74	4	A93	A101	1	A123	34	A142	A152	2	A173	1	A192	A201	1	10565
A11	24	A32	A41	2924	A61	A73	3	A93	A103	4	A124	63	A141	A152	1	A173	2	A192	A201	1	10566
A11	24	A33	A43	1659	A61	A72	4	A92	A101	2	A123	29	A143	A151	1	A172	1	A192	A201	2	10567
A14	48	A33	A43	7238	A65	A75	3	A93	A101	3	A123	32	A141	A152	2	A173	2	A191	A201	1	10568
